iter	Passed	Remaining
284	1238	3105
285	1242	3102
286	1248	3101
287	1253	3099
288	1258	3095
289	1263	3092
290	1267	3088
291	1270	3081
292	1274	3075
293	1278	3069
294	1282	3064
295	1287	3061
296	1291	3056
297	1295	3051
298	1300	3048
299	1304	3043
300	1309	3040
301	1314	3038
302	1320	3038
303	1326	3037
304	1331	3034
305	1335	3029
306	1340	3025
307	1343	3019
308	1348	3016
309	1355	3017
310	1360	3014
311	1365	3010
312	1370	3008
313	1375	3005
314	1381	3003
315	1388	3005
316	1394	3003
317	1399	3000
318	1403	2996
319	1408	2992
320	1413	2989
321	1418	2986
322	1424	2984
323	1429	2982
324	1434	2980
325	1440	2978
326	1447	2979
327	1454	2979
328	1459	2977
329	1464	2974
330	1469	2970
331	1475	2969
332	1482	2969
333	1489	2970
334	1495	2968
335	1500	2964
336	1507	2966
337	1513	2964
338	1518	2961
339	1524	2958
340	1529	2955
341	1533	2951
342	1540	2950
343	1545	2947
344	1552	2946
345	1556	2942
346	1561	2938
347	1567	2937
348	1572	2934
349	1577	2930
350	1582	2926
351	1588	2923
352	1592	2919
353	1597	2915
354	1602	2911
355	1607	2907
356	1612	2904
357	1617	2900
358	1620	2893
359	1625	2890
360	1629	2883
361	1634	2880
362	1638	2876
363	1642	2870
364	1646	2865
365	1650	2859
366	1654	2853
367	1659	2849
368	1663	2845
369	1668	2840
370	1672	2836
371	1676	2830
372	1679	2823
373	1683	2817
374	1687	2812
375	1691	2807
376	1695	2801
377	1699	2796
378	1703	2790
379	1706	2784
380	1710	2778
381	1713	2772
382	1717	2766
383	1720	2760
384	1724	2754
385	1727	2747
386	1731	2743
387	1736	2739
388	1740	2733
389	1744	2727
390	1749	2724
391	1753	2719
392	1756	2713
393	1760	2707
394	1764	2701
395	1769	2698
396	1773	2693
397	1779	2691
398	1783	2687
399	1787	2681
400	1791	2676
401	1796	2671
402	1799	2665
403	1803	2660
404	1808	2656
405	1812	2651
406	1815	2645
407	1819	2640
408	1823	2634
409	1827	2629
410	1831	2624
411	1835	2619
412	1840	2615
413	1844	2610
414	1847	2604
415	1850	2598
416	1854	2592
417	1859	2589
418	1864	2585
419	1868	2580
420	1873	2576
421	1877	2571
422	1880	2564
423	1884	2560
424	1889	2555
425	1893	2550
426	1897	2546
